symbol,side,type,state,qty,cum_qty,limit_price,time_in_force,submitted_at,terminal_at
ETH/USDT,SELL,LIMIT,FILLED,0.025000000000000000,0.025000000000000000,1789.420000000000000000,IOC,,1783728913488
ETH/USDT,SELL,LIMIT,FILLED,0.019400000000000000,0.019400000000000000,1792.340000000000000000,IOC,,1783744206982
ETH/USDT,BUY,LIMIT,FILLED,0.019400000000000000,0.019400000000000000,1794.860000000000000000,GTC,,1783733724682
XRP/USDT,BUY,LIMIT,FILLED,40.600000000000000000,40.600000000000000000,1.106200000000000000,GTC,,1783733895846
LINK/USDT,SELL,LIMIT,FILLED,5.640000000000000000,5.640000000000000000,7.978000000000000000,IOC,,1783743318304
LINK/USDT,BUY,LIMIT,FILLED,5.650000000000000000,5.650000000000000000,7.948000000000000000,GTC,,1783845843951
SOL/USDT,SELL,LIMIT,FILLED,0.447000000000000000,0.447000000000000000,76.340000000000000000,IOC,,1783840629740
ETH/USDT,BUY,LIMIT,FILLED,0.022100000000000000,0.022100000000000000,1805.140000000000000000,GTC,,1783856833079
ETH/USDT,SELL,LIMIT,FILLED,0.022100000000000000,0.022100000000000000,1799.890000000000000000,IOC,,1783865708889
LINK/USDT,SELL,LIMIT,FILLED,5.550000000000000000,5.550000000000000000,7.957000000000000000,IOC,,1783894508112
BTC/USDT,SELL,LIMIT,FILLED,0.000700000000000000,0.000700000000000000,63705.790000000000000000,IOC,,1783841408987
XRP/USDT,SELL,LIMIT,FILLED,40.600000000000000000,40.600000000000000000,1.089300000000000000,IOC,,1783841410378
BTC/USDT,BUY,LIMIT,FILLED,0.000540000000000000,0.000540000000000000,63986.000000000000000000,GTC,,1783857738647
LINK/USDT,SELL,LIMIT,FILLED,5.610000000000000000,5.610000000000000000,7.957000000000000000,IOC,,1783841431010
XRP/USDT,SELL,LIMIT,FILLED,40.900000000000000000,40.900000000000000000,1.093300000000000000,IOC,,1783891817091
ETH/USDT,SELL,LIMIT,FILLED,0.027800000000000000,0.027800000000000000,1792.710000000000000000,IOC,,1783842309611
LINK/USDT,BUY,LIMIT,FILLED,5.560000000000000000,5.560000000000000000,8.080000000000000000,GTC,,1783868464419
XRP/USDT,BUY,LIMIT,FILLED,40.900000000000000000,40.900000000000000000,1.098700000000000000,GTC,,1783858538500
BTC/USDT,SELL,LIMIT,FILLED,0.000540000000000000,0.000540000000000000,63815.070000000000000000,IOC,,1783865718600
LINK/USDT,BUY,LIMIT,FILLED,4.980000000000000000,4.980000000000000000,8.017000000000000000,GTC,,1783850552710
LINK/USDT,SELL,LIMIT,FILLED,4.980000000000000000,4.980000000000000000,7.995000000000000000,IOC,,1783865720604
SOL/USDT,BUY,LIMIT,FILLED,0.453000000000000000,0.453000000000000000,77.070000000000000000,GTC,,1783860128409
ETH/USDT,BUY,LIMIT,FILLED,0.030100000000000000,0.030100000000000000,1821.740000000000000000,GTC,,1783873844132
BTC/USDT,BUY,LIMIT,FILLED,0.000620000000000000,0.000620000000000000,64144.680000000000000000,GTC,,1783873853647
ETH/USDT,BUY,LIMIT,CANCELED,0.027600000000000000,0.000000000000000000,1808.680000000000000000,GTC,,1783870202681
BTC/USDT,BUY,LIMIT,CANCELED,0.000540000000000000,0.000000000000000000,64038.180000000000000000,GTC,,1783870203569
SOL/USDT,SELL,LIMIT,FILLED,0.453000000000000000,0.453000000000000000,76.540000000000000000,IOC,,1783907498198
ETH/USDT,SELL,LIMIT,FILLED,0.024600000000000000,0.024600000000000000,1797.960000000000000000,IOC,,1783908317903
BTC/USDT,SELL,LIMIT,FILLED,0.000620000000000000,0.000620000000000000,63632.520000000000000000,IOC,,1783894506098
ETH/USDT,SELL,LIMIT,FILLED,0.030000000000000000,0.030000000000000000,1797.950000000000000000,IOC,,1783894506584
ETH/USDT,BUY,LIMIT,FILLED,0.024600000000000000,0.024600000000000000,1825.120000000000000000,GTC,,1783904416781
LINK/USDT,BUY,LIMIT_MAKER,FILLED,10.920000000000000000,10.920000000000000000,7.993000000000000000,GTC,,1783936926806
LINK/USDT,SELL,LIMIT,FILLED,10.910000000000000000,10.910000000000000000,7.921000000000000000,IOC,,1783943140751
BTC/USDT,BUY,LIMIT,CANCELED,1.000000000000000000,0.000000000000000000,,GTC,,1783715188771
ETH/USDT,BUY,LIMIT,FILLED,0.027800000000000000,0.027800000000000000,1796.320000000000000000,GTC,,1783745457512
LINK/USDT,BUY,LIMIT,FILLED,5.620000000000000000,5.620000000000000000,7.997000000000000000,GTC,,1783748959813
BTC/USDT,SELL,LIMIT,FILLED,0.000620000000000000,0.000620000000000000,64058.550000000000000000,IOC,,1783753209101
BTC/USDT,BUY,LIMIT,FILLED,0.000700000000000000,0.000700000000000000,64185.890000000000000000,GTC,,1783755849758
SOL/USDT,BUY,LIMIT,FILLED,0.448000000000000000,0.448000000000000000,78.040000000000000000,GTC,,1783759760817
LINK/USDT,SELL,LIMIT,FILLED,13.260000000000000000,13.260000000000000000,8.289000000000000000,IOC,1784484966062,1784484975763
AAVE/USDT,SELL,LIMIT,FILLED,1.007000000000000000,1.007000000000000000,90.700000000000000000,GTC,1784387713276,1784440195587
BTC/USDT,SELL,LIMIT,FILLED,0.001710000000000000,0.001710000000000000,63935.140000000000000000,IOC,1784387702663,1784387708154
AAVE/USDT,BUY,LIMIT_MAKER,FILLED,1.009000000000000000,1.009000000000000000,88.920000000000000000,GTC,1784386816975,1784386820564
ZEC/USDT,SELL,LIMIT,FILLED,0.200000000000000000,0.200000000000000000,558.530000000000000000,GTC,1784380500750,1784386370084
ZEC/USDT,BUY,LIMIT_MAKER,FILLED,0.200000000000000000,0.200000000000000000,546.510000000000000000,GTC,1784378718009,1784379607774
BTC/USDT,SELL,LIMIT,CANCELED,0.001710000000000000,0.000000000000000000,64874.790000000000000000,GTC,1784377802181,1784387702613
BTC/USDT,BUY,LIMIT_MAKER,FILLED,0.001710000000000000,0.001710000000000000,64105.930000000000000000,GTC,1784376913936,1784377064062
BTC/USDT,SELL,LIMIT,FILLED,0.001550000000000000,0.001550000000000000,63864.930000000000000000,IOC,1784375103278,1784375113256
LINK/USDT,SELL,LIMIT,CANCELED,13.260000000000000000,0.000000000000000000,8.428000000000000000,GTC,1784374316602,1784456635518
LINK/USDT,SELL,LIMIT,REJECTED,13.260000000000000000,0.000000000000000000,8.236000000000000000,IOC,1784371520067,1784371520427
LINK/USDT,SELL,LIMIT,REJECTED,13.260000000000000000,0.000000000000000000,8.251000000000000000,IOC,1784370613049,1784370613496
LINK/USDT,SELL,LIMIT,REJECTED,13.260000000000000000,0.000000000000000000,8.225000000000000000,IOC,1784369710466,1784369710963
LINK/USDT,SELL,LIMIT,REJECTED,13.260000000000000000,0.000000000000000000,8.209000000000000000,IOC,1784368811467,1784368811971
LINK/USDT,SELL,LIMIT,REJECTED,13.260000000000000000,0.000000000000000000,8.196000000000000000,IOC,1784367917970,1784367918425
LINK/USDT,SELL,LIMIT,REJECTED,13.260000000000000000,0.000000000000000000,8.191000000000000000,IOC,1784367010296,1784367010883
