id,run_id,ts,equity,cash,unrealized,peak,session_date_utc,gap_annotation,boot_id,mode
131321,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:42:54.926+00,4990.471839304550000000,4989.678046040000000000,-0.007317989466886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131320,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:42:49.895+00,4990.471970769450000000,4989.678046040000000000,-0.007186524566886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131319,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:42:44.861+00,4990.472229928150000000,4989.678046040000000000,-0.006927365866886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131318,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:42:39.841+00,4990.472192934550000000,4989.678046040000000000,-0.006964359466886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131317,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:42:34.837+00,4990.472225012150000000,4989.678046040000000000,-0.006932281866886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131316,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:42:29.82+00,4990.471786059250000000,4989.678046040000000000,-0.007371234766886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131315,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:42:24.787+00,4990.472218119550000000,4989.678046040000000000,-0.006939174466886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131314,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:42:19.784+00,4990.472208494550000000,4989.678046040000000000,-0.006948799466886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131313,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:42:14.775+00,4990.472140799550000000,4989.678046040000000000,-0.007016494466886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131312,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:42:09.765+00,4990.472375389550000000,4989.678046040000000000,-0.006781904466886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131311,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:42:04.755+00,4990.472371124550000000,4989.678046040000000000,-0.006786169466886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131310,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:41:59.747+00,4990.472025180750000000,4989.678046040000000000,-0.007132113266886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131309,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:41:54.721+00,4990.471958144350000000,4989.678046040000000000,-0.007199149666886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131308,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:41:49.707+00,4990.471917829550000000,4989.678046040000000000,-0.007239464466886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131307,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:41:44.673+00,4990.472110616450000000,4989.678046040000000000,-0.007046677566886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131306,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:41:39.662+00,4990.471990241450000000,4989.678046040000000000,-0.007167052566886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131305,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:41:34.657+00,4990.471886618950000000,4989.678046040000000000,-0.007270675066886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131304,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:41:29.644+00,4990.472002016950000000,4989.678046040000000000,-0.007155277066886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131303,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:41:24.645+00,4990.472195967650000000,4989.678046040000000000,-0.006961326366886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131302,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:41:19.626+00,4990.472273800250000000,4989.678046040000000000,-0.006883493766886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131301,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:41:14.614+00,4990.472264770250000000,4989.678046040000000000,-0.006892523766886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131300,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:41:09.613+00,4990.472258200250000000,4989.678046040000000000,-0.006899093766886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131299,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:41:04.603+00,4990.472094711350000000,4989.678046040000000000,-0.007062582666886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131298,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:40:59.571+00,4990.472032789150000000,4989.678046040000000000,-0.007124504866886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
